Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Epstein-Barr virus infection,17/202,1.911887764503101e-16,2.6957617479493727e-14,0,0,21.82709215239336,789.9938477841022,DDX58;STAT1;TAP2;TAP1;TNFAIP3;ISG15;HLA-A;HLA-F;ICAM1;HLA-E;OAS1;OAS2;OAS3;IRF7;B2M;HLA-DQA1;HLA-DQB1
KEGG_2021_Human,Influenza A,15/172,7.537977373358899e-15,5.314274048218024e-13,0,0,22.19145747470963,721.6400666751542,CXCL8;RSAD2;DDX58;STAT1;MX2;MX1;ICAM1;IFIH1;OAS1;OAS2;OAS3;TNFSF10;IRF7;HLA-DQA1;HLA-DQB1
KEGG_2021_Human,NOD-like receptor signaling pathway,13/181,6.340809522483261e-12,2.9801804755671327e-10,0,0,17.550355774493706,452.518630765483,GBP5;CXCL8;STAT1;CYBB;TNFAIP3;OAS1;OAS2;OAS3;NAMPT;IRF7;GBP2;GBP1;GBP4
KEGG_2021_Human,Phagosome,12/152,1.4156008316440748e-11,4.989992931545364e-10,0,0,19.246753246753247,480.80087108510577,FCGR3A;NCF2;CLEC7A;TAP2;TAP1;CYBB;HLA-A;HLA-F;HLA-DQA1;CTSS;HLA-E;HLA-DQB1
KEGG_2021_Human,Measles,11/139,1.0236207337905712e-10,2.886610469289411e-09,0,0,19.091643258426966,439.155616629012,IFIH1;OAS1;DDX58;OAS2;STAT1;OAS3;MX2;MX1;IRF7;TNFAIP3;FOS
KEGG_2021_Human,Coronavirus disease,13/232,1.4337475664698588e-10,3.369306781204168e-09,0,0,13.428488951871095,304.36421181276074,C1QA;CXCL8;DDX58;STAT1;MX2;MX1;CYBB;ISG15;FOS;IFIH1;OAS1;OAS2;OAS3
KEGG_2021_Human,Antigen processing and presentation,9/78,1.8549863228795064e-10,3.736472450371577e-09,0,0,28.4247491638796,636.9410290503499,TAP2;TAP1;HLA-A;HLA-F;B2M;CTSS;HLA-DQA1;HLA-E;HLA-DQB1
KEGG_2021_Human,Human cytomegalovirus infection,12/225,1.3470079269755464e-09,2.374101471294401e-08,0,0,12.603713188220231,257.43563196887726,CXCL8;CCL3L1;CDKN2A;CCL4;TAP2;GNB4;CCL3;TAP1;HLA-A;HLA-F;B2M;HLA-E
KEGG_2021_Human,Hepatitis C,10/157,6.292155441593036e-09,9.85771019182909e-08,0,0,14.930461073318217,281.94626175200665,RSAD2;OAS1;DDX58;OAS2;STAT1;OAS3;MX2;MX1;IRF7;IFIT1
KEGG_2021_Human,Herpes simplex virus 1 infection,15/498,2.5836843784771762e-08,3.6429949736528177e-07,0,0,7.094263792473512,123.94717665624148,DDX58;STAT1;TAP2;TAP1;HLA-A;HLA-F;HLA-E;IFIH1;OAS1;OAS2;OAS3;IRF7;B2M;HLA-DQA1;HLA-DQB1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,10/193,4.5213874581842506e-08,5.795596650945267e-07,0,0,11.971463266545234,202.45973275574684,ZFP36;CXCL8;STAT1;GNB4;IRF7;HLA-A;FOS;HLA-F;ICAM1;HLA-E
KEGG_2021_Human,Toll-like receptor signaling pathway,8/104,5.10059662205412e-08,5.99320103091359e-07,0,0,17.93840579710145,301.20956990452106,CXCL8;CCL3L1;STAT1;CCL4;IRF7;CCL3;SPP1;FOS
KEGG_2021_Human,Leishmaniasis,7/77,1.1405989708521149e-07,1.2371111914626784e-06,0,0,21.32258064516129,340.8743334524742,FCGR3A;NCF2;STAT1;CYBB;FOS;HLA-DQA1;HLA-DQB1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,10/219,1.4796544865878985e-07,1.4902234472063836e-06,0,0,10.468367889420522,164.6285583263499,ZFP36;CDKN2A;HLA-A;FOS;HLA-F;B2M;HLA-DQA1;ICAM1;HLA-E;HLA-DQB1
KEGG_2021_Human,Rheumatoid arthritis,7/93,4.21004265365621e-07,3.957440094436837e-06,0,0,17.34158539634909,254.5852752030118,CXCL8;CCL3L1;CCL3;FOS;HLA-DQA1;ICAM1;HLA-DQB1
KEGG_2021_Human,Viral myocarditis,6/60,5.403339892130763e-07,4.761693279940235e-06,0,0,23.458628841607567,338.53331173601583,HLA-A;HLA-F;HLA-DQA1;ICAM1;HLA-E;HLA-DQB1
