names,scores,logfoldchanges,pvals,pvals_adj
HLA-A,112.27681,1.3615963,0.0,0.0
B2M,107.45576,1.0271976,0.0,0.0
HLA-B,88.45971,0.9458896,0.0,0.0
HLA-C,86.145836,0.9062886,0.0,0.0
HLA-E,73.30579,1.0150745,0.0,0.0
STAT1,68.267715,2.1096456,0.0,0.0
PSMB9,67.69559,1.3617448,0.0,0.0
ISG15,64.86525,1.8389679,0.0,0.0
GBP1,59.805096,2.5573013,0.0,0.0
IFI6,59.434105,2.141032,0.0,0.0
IRF1,59.203022,1.2723523,0.0,0.0
UBC,58.201138,0.5907615,0.0,0.0
FOS,58.006664,1.3162165,0.0,0.0
DUSP1,57.218307,1.1943338,0.0,0.0
JUNB,56.85054,1.141967,0.0,0.0
FOSB,54.52827,1.1378233,0.0,0.0
ACTB,54.510517,0.6248635,0.0,0.0
PPP1R15A,54.26476,1.1090953,0.0,0.0
MCL1,53.66149,0.9661949,0.0,0.0
TAP1,53.478992,1.5857735,0.0,0.0
MX1,52.992218,2.078434,0.0,0.0
TNFAIP3,52.8787,1.3293227,0.0,0.0
TMSB4X,51.356052,0.6647834,0.0,0.0
RNF213,51.35096,0.961174,0.0,0.0
GBP5,50.92889,2.0667224,0.0,0.0
CTSS,50.410187,1.3526032,0.0,0.0
XAF1,49.805397,1.5808698,0.0,0.0
HLA-F,49.596615,1.0424857,0.0,0.0
ZFP36,49.378086,1.0023386,0.0,0.0
EPSTI1,47.034203,1.6942648,0.0,0.0
IFI44L,46.436283,2.60142,0.0,0.0
C15orf48,44.880386,2.104169,0.0,0.0
DDX3X,44.658527,0.7488942,0.0,0.0
SRGN,44.00203,0.96910363,0.0,0.0
FTL,43.975853,0.78820926,0.0,0.0
CDC42,43.549084,0.5796226,0.0,0.0
JUND,43.443096,0.7304773,0.0,0.0
NAMPT,43.29088,1.1509794,0.0,0.0
GBP2,43.21823,1.3799244,0.0,0.0
SAMD9L,42.99203,1.5752257,0.0,0.0
CCNL1,42.68517,0.7773346,0.0,0.0
APOL6,42.59506,1.2383022,0.0,0.0
BTN3A2,42.195583,1.1984813,0.0,0.0
CXCL8,42.05816,1.5099432,0.0,0.0
GBP4,42.049995,1.9248391,0.0,0.0
TYMP,41.643066,1.0130434,0.0,0.0
PSMB8,40.796146,0.8567159,0.0,0.0
TPM3,40.50868,0.6270848,0.0,0.0
CCL3,40.22581,2.1120367,0.0,0.0
NFKBIA,39.96669,0.9019192,0.0,0.0
SH3BGRL3,39.442276,0.618566,0.0,0.0
PARP14,39.42566,1.1520115,0.0,0.0
SAMD9,39.12373,1.273976,0.0,0.0
SMCHD1,38.89531,0.9015534,0.0,0.0
FYB1,38.780586,0.9127566,0.0,0.0
IFI44,38.352676,1.7594908,0.0,0.0
JUN,38.279087,0.84260756,0.0,0.0
IER2,37.23601,0.68061495,1.7845631123215086e-303,2.022615018847853e-301
IFIT3,37.051517,2.1946573,1.6976781225050512e-300,1.9123354605714873e-298
RGS1,36.59983,1.0628964,2.877803416125069e-293,3.18309328454653e-291
DDX5,36.500446,0.43175447,1.0909723457486217e-291,1.1994816311551164e-289
IER5,36.064972,0.9781209,8.034697966381303e-285,8.677946432983948e-283
PSME2,35.694572,0.72226965,4.798897616781633e-279,5.063940180559055e-277
BTG1,35.148003,0.6162576,1.2470536242315132e-270,1.272063977473045e-268
LYZ,34.753544,2.073768,1.2251980088202159e-264,1.2029871999972185e-262
SPP1,34.70101,2.6680877,7.605864043036492e-264,7.428259026286863e-262
NR4A2,34.680923,0.8322358,1.5278366143429602e-263,1.48426497756355e-261
PNRC1,34.639362,0.586029,6.459830027964246e-263,6.242575744392186e-261
OAS1,34.467934,1.9510287,2.4260439399133925e-260,2.3200308739973853e-258
MXD1,34.157795,1.256981,1.0243776407163238e-255,9.745387492845815e-254
CXCR4,33.97256,0.8608315,5.665670252079087e-253,5.334736999919185e-251
PARP9,33.91614,1.378538,3.8517299147679043e-252,3.589929592134695e-250
APOE,33.90593,2.4000363,5.44776617120084e-252,5.001321733470931e-250
CCL4,33.80236,1.0306333,1.820792707901507e-250,1.655028460880177e-248
OAS3,33.53414,2.1731844,1.5331621717352475e-246,1.3731897870844331e-244
HLA-DRB1,33.464897,0.90327585,1.5628683146216799e-245,1.3862717451579064e-243
RGS2,33.355633,0.8902905,6.036094414465164e-244,5.302810026028463e-242
HSP90AA1,33.329117,0.37551862,1.4624123760821935e-243,1.2786358874878645e-241
KLF6,33.062607,0.61917657,1.0249945925375366e-239,8.794357810084911e-238
HNRNPU,32.680725,0.48609868,2.9344903238406606e-234,2.460282047307688e-232
ADAR,32.508923,0.8418813,7.97591265664992e-232,6.6566241949431455e-230
CLEC2B,32.46853,0.7279449,2.966703859022801e-231,2.464780522874102e-229
LAPTM5,32.186443,0.78327835,2.7316193064510533e-227,2.2491148917375692e-225
REL,32.146435,0.79372746,9.9063364541953e-227,8.084010828243551e-225
MT-ND5,31.858921,0.1956191,9.90407014132163e-223,8.010952945586187e-221
BST2,31.78202,0.6695737,1.147065594758048e-221,9.19706174032861e-220
RAB11FIP1,31.767143,1.025862,1.8411703584165864e-221,1.4698143022124757e-219
MX2,31.585505,1.1976916,5.839237816082885e-219,4.562308320897781e-217
OAZ1,31.49062,0.28878674,1.1675274065946348e-217,9.045135321723245e-216
PSME1,31.454866,0.5119661,3.6014192154088874e-217,2.778389000593386e-215
LRRFIP1,31.248823,0.6124619,2.3162825949304297e-214,1.76469978114181e-212
YPEL5,30.91874,0.6987395,6.68892721878362e-210,5.012873169962695e-208
HLA-DRA,30.838245,0.91575617,8.052555624673719e-209,6.010283488806266e-207
PMAIP1,30.330643,1.1632383,4.523283470204133e-202,3.322080311856723e-200
HNRNPA2B1,30.13785,0.31945783,1.5476841183632815e-199,1.1143932587164004e-197
EFHD2,30.135462,0.72167945,1.66332096590592e-199,1.1929779787108826e-197
TRIM22,30.074074,0.88953215,1.0579222299493458e-198,7.558175122217875e-197
SRSF5,29.878267,0.50500405,3.7706068293526356e-196,2.6627735382209133e-194
UBE2L6,29.683382,1.0990583,1.2583865699222e-193,8.818792294023479e-192
PLEK,29.62931,1.2233943,6.266423485958446e-193,4.358250061578902e-191
RSAD2,29.487429,2.6803162,4.172940201535836e-191,2.8912964166188484e-189
IFI16,29.474613,0.61075234,6.091470887481482e-191,4.204717931016823e-189
APOC1,29.392994,3.1463788,6.749015486972826e-190,4.641148814842999e-188
ACTR3,29.156734,0.55529076,6.86335453639342e-187,4.599199001559109e-185
OAS2,29.13909,1.4428418,1.148551347929064e-186,7.668564108845652e-185
PRRC2C,28.99948,0.44441783,6.679633401049486e-185,4.4116816142686905e-183
ACTR2,28.977507,0.5312076,1.2638877178966643e-184,8.287943710107377e-183
ARPC2,28.87348,0.3577448,2.5709208292302093e-183,1.6739247285636834e-181
PPP1R15B,28.697554,0.95415723,4.0930411680669817e-181,2.6369238205922053e-179
YWHAZ,28.482697,0.36913383,1.9190916734905405e-178,1.2150497316193039e-176
CAPZA1,28.353346,0.65102965,7.611432020310137e-177,4.7860788809902197e-175
LSP1,28.34819,0.7254844,8.811300138557953e-177,5.521647844507255e-175
SP100,28.246002,0.68001115,1.5936911797230277e-175,9.919241949455766e-174
LCP1,28.080244,0.6099186,1.7075437010783806e-173,1.0485688928260917e-171
DTX3L,28.054476,1.1122713,3.5226237778386426e-173,2.155963172829844e-171
PLSCR1,27.986599,0.9723543,2.3655071588081107e-172,1.4381813557243617e-170
RAP2B,27.894705,1.1049869,3.093307103065045e-171,1.8560853503064474e-169
SAT1,27.880136,0.5735385,4.646200074111449e-171,2.7697688169078024e-169
N4BP1,27.827269,0.9022709,2.0297684532520057e-170,1.2022122119406476e-168
MT-ND1,27.623306,0.14287515,5.8415604535731415e-168,3.3942054268372295e-166
EGR1,27.592005,0.9503552,1.3877808781230448e-167,8.038184448964425e-166
IFIT2,27.302332,1.7579588,3.979733623845599e-164,2.297858146774498e-162
SAMHD1,27.298147,0.8507316,4.462034555483106e-164,2.568257569693583e-162
IRF9,27.233423,0.94552916,2.6120049439966253e-163,1.4940505537919638e-161
DNAJA1,27.184088,0.4369114,1.0016973957865586e-162,5.711852759017702e-161
TNFSF10,27.118488,1.062852,5.960750661754297e-162,3.3884007089929e-160
TAP2,26.928144,1.1975704,1.0286080645204548e-159,5.758009961176851e-158
CDV3,26.890493,0.5624547,2.8370607951926487e-159,1.57852343213734e-157
SPRR3,26.828001,2.1522756,1.5234805547113996e-158,8.425489899113255e-157
ATP1B3,26.737629,0.7882866,1.7198033455090828e-157,9.454284199668344e-156
ARF6,26.693602,0.6348387,5.585002570515509e-157,3.0519711963462876e-155
IFIH1,26.636307,1.4645933,2.578973255842186e-156,1.3968297330536394e-154
TYROBP,26.548489,0.9890775,2.6734929906597764e-155,1.4228407188841784e-153
CD69,26.416153,0.66780967,8.938322800198664e-154,4.715992670530105e-152
ARHGAP30,26.355036,0.70345587,4.493802676672813e-153,2.3574488841825576e-151
CLEC7A,26.117414,1.4251204,2.31225777465899e-150,1.1959257746623582e-148
CYRIB,26.041273,0.60306627,1.6892541556084301e-149,8.688065980707671e-148
IVNS1ABP,26.030132,0.7199363,2.2585971829176206e-149,1.1583827618868835e-147
NLRC5,25.954163,1.1102898,1.6318507931592136e-148,8.299837233572387e-147
ZFAND5,25.893959,0.75611675,7.78934126269872e-148,3.929123486934374e-146
HLA-DQB1,25.890736,1.1250888,8.468476321735667e-148,4.259991609407906e-146
COTL1,25.885706,0.60469776,9.64770674410248e-148,4.839932883291411e-146
BTG2,25.777891,0.53212047,1.5695347239998045e-146,7.788710018205516e-145
CAP1,25.769363,0.54229486,1.9559683509521267e-146,9.680198084051752e-145
DUSP2,25.736559,0.569385,4.5584165429490985e-146,2.2499216705668925e-144
NFKBIZ,25.583633,0.7863834,2.3206452216149638e-144,1.133227843459371e-142
PTPRC,25.50303,0.5690224,1.8244156007858836e-143,8.815288117376212e-142
GRB2,25.410177,0.67324954,1.9465595640026647e-142,9.380782192822291e-141
ZEB2,25.397938,1.0366402,2.65770721755314e-142,1.2774388016097699e-140
PIK3IP1,25.367668,0.77820617,5.737153065835675e-142,2.7503881838592383e-140
ARPC3,25.367052,0.32578915,5.827653938914128e-142,2.7864988013646433e-140
EIF2AK2,25.289314,0.81052923,4.1874010020738815e-141,1.997009605170871e-139
HLA-DQA1,25.282358,1.162317,4.993955020137216e-141,2.3754924384647517e-139
RAP1A,25.079058,0.669388,8.417851864106725e-139,3.963081489150348e-137
HLA-DPB1,25.002123,0.7655188,5.796907317717497e-138,2.7152299811380347e-136
HNRNPA3,24.92086,0.36714703,4.421325596715065e-137,2.065647818862222e-135
DNAJB6,24.90925,0.5670123,5.907169099349358e-137,2.752830757186638e-135
MT-ND6,24.695278,0.7274293,1.202003230453682e-134,5.559189247949636e-133
SNX10,24.665699,1.2836976,2.497340221469396e-134,1.149214631739338e-132
IQGAP1,24.63958,0.41515326,4.75972248652039e-134,2.1848316143750225e-132
ARL4C,24.369087,0.5895482,3.638740277558483e-131,1.6455889220751555e-129
GADD45B,24.3614,0.65055454,4.3897786149139263e-131,1.9803617972588353e-129
CTSC,24.33524,0.6318088,8.308924076295107e-131,3.7392194844327073e-129
TIPARP,24.266539,0.8811671,4.42388515400572e-130,1.976324946780998e-128
ICAM1,23.98283,1.5759184,4.2012042314655085e-127,1.8454141362186173e-125
IL2RG,23.892185,0.6626192,3.6928337340201003e-126,1.6105491731672936e-124
DDX60,23.880196,1.2966093,4.919769308849672e-126,2.140565978194048e-124
PLAUR,23.879175,1.0288894,5.0413295179261366e-126,2.188270715807135e-124
ATF3,23.877874,0.8787008,5.20056483708111e-126,2.2520653531520344e-124
SP110,23.700174,0.72434264,3.590722285097822e-124,1.5440105825920635e-122
PLAAT4,23.655184,0.58819944,1.0438937551481183e-123,4.467816605658415e-122
CEACAM5,23.644625,2.4108686,1.3406168437696782e-123,5.724433922896525e-122
DDX58,23.255037,1.2031769,1.2650466850180928e-119,5.327413344866331e-118
DOCK8,23.159136,0.64350295,1.1760916093254946e-118,4.896648081366305e-117
MBD2,22.985249,0.630134,6.547709394207981e-117,2.695571573700734e-115
IL1RN,22.984705,1.5037136,6.630048957605868e-117,2.7233630628769875e-115
CCL5,22.97285,0.7212175,8.71064896523273e-117,3.5700050368446016e-115
NMI,22.969248,0.8332799,9.463448783800152e-117,3.8698971741504364e-115
ELF1,22.86801,0.54756314,9.674698795432116e-116,3.930025322631174e-114
VASP,22.86394,0.6381119,1.0620377034435167e-115,4.3046521573788984e-114
EVI2B,22.84994,0.71655506,1.4633877033695987e-115,5.9053322245207034e-114
